userName;score;at;content;Unnamed: 4;Unnamed: 5;score_ SH.;score_1;score_2;score_3;score_4;score_5;Unnamed: 5_Baik;Unnamed: 4_14/10/2024 17.02
Rina Jayusman;4;14/10/2024 14.05;Please improve the quality of uploading videos and photos on my device! it looks bad on other devices. Thanks.;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE
Ahmad Fadli;5;14/10/2024 14.03;manatap sip;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Saiful;5;14/10/2024 14.02;😘;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Liza 80;5;14/10/2024 13.58;Good aplikasi Sangat menyenangkan Menggunakan aplikasi instagram;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Bang EL zein;4;14/10/2024 13.57;Sangat menarik;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE
Xena Manurung;5;14/10/2024 13.57;Sangat bagus aplikasi nya 👍🏻;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Muja Ajiz;1;14/10/2024 13.53;Ig lol ga bisa login anjg;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Arta Indah;5;14/10/2024 13.48;Sangat penting untuk saya;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Riki Pratama;5;14/10/2024 13.47;Bagus sih aku kasih bintang lima;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Wahyu Din;1;14/10/2024 13.45;seru;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Najmi Aulia;4;14/10/2024 13.44;baik dan banyak belajar tentang agama..terimaksih;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE
Andik Alfatah;5;14/10/2024 13.42;Top;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
nadea tsabilla;5;14/10/2024 13.42;Bagussss bangettt jopppo;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Adi Permata;5;14/10/2024 13.37;Sangat membantu sekali;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Yotias polona;4;14/10/2024 13.35;Good;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE
Luthfi Afifia Ruba;5;14/10/2024 13.33;tolong fitur arsip jangan dihapus;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Endrawati Burhan;5;14/10/2024 13.32;sangat bagus;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
RISKI ADITYA ADITYA;5;14/10/2024 13.31;Bagus;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Pak Deni;4;14/10/2024 13.27;Bagus untuk koneksi dengan teman yg sulit dicari;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE
Diana Rose;4;14/10/2024 13.25;Cukup baik;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE
